File Name,Average,Variance,Date
26-06-24-01-34-40_sub-0_task-empty-room-2024-06-26.con,1.6172522076784208e-12,1.1019269347629226e-22,26-06-24 01:34:40
26-06-24-02-37-36_sub-0_task-empty-room-26-06-2024-1h15minPM.con,1.76270860867811e-12,9.639346247551235e-23,26-06-24 02:37:36
26-06-24-02-38-01_sub-0_task-empty-room-26-06-2024-1h36minPM.con,1.7682506164331927e-12,1.0566585498117803e-22,26-06-24 02:38:01
28-04-24-22-32-18_sub-0_task-empty-room-2024-04-19.con,1.70580426299698e-12,9.09258517633639e-23,28-04-24 22:32:18
28-04-24-22-32-28_sub-0_task-empty-room2-2024-04-15.con,1.4096027986925616e-12,8.121212348222771e-23,28-04-24 22:32:28
28-04-24-22-32-50_sub-0_task-empty-room-2024-04-15.con,8.135428528422934e-13,1.1879549591451023e-22,28-04-24 22:32:50
28-04-24-22-35-33_sub-0_task-empty-room-2013-12-11.con,-1.5409082749760243e-17,1.063805532186458e-26,28-04-24 22:35:33
28-04-24-22-35-33_sub-0_task-empty-room2-2013-12-11.con,-2.0270354843148475e-13,3.1077916733521885e-24,28-04-24 22:35:33
28-04-24-22-35-34_sub-0_task-empty-room-2018-12-07.con,-2.122561563300549e-14,1.8917769334929676e-25,28-04-24 22:35:34
28-04-24-22-35-35_sub-0_task-empty-room-2017-08-09.con,-1.356751293206727e-15,5.851396155957157e-26,28-04-24 22:35:35
28-04-24-22-36-05_sub-0_task-empty-room-2013-08-14.con,6.289449404822186e-16,4.441135703603343e-26,28-04-24 22:36:05
28-04-24-22-36-21_sub-0_task-empty-room-2013-12-25.con,3.3672178879225016e-16,4.095147668321002e-26,28-04-24 22:36:21
28-04-24-22-37-22_sub-0_task-empty-room-2023-02-02.con,-7.716391423442588e-15,7.282737919939329e-24,28-04-24 22:37:22
28-04-24-22-37-24_sub-0_task-empty-room-2023-02-03.con,-6.867169307536397e-15,6.997539229637706e-24,28-04-24 22:37:24
28-04-24-22-37-52_sub-0_task-empty-room-2020-12-06.con,-5.118879576791305e-16,4.0322111110290504e-26,28-04-24 22:37:52
28-04-24-22-51-00_sub-0_task-empty-room-2024-04-07.con,-1.7148414130100554e-15,2.886255073838318e-25,28-04-24 22:51:00
28-06-24-02-51-00_empty-room-test_28_June_2024.con,1.06552243651589e-12,6.464529267997415e-23,28-06-24 02:51:00
30-04-24-02-41-40_sub-0_task-empty-room-2024-02-21.con,-1.7148414130100554e-15,2.886255073838318e-25,30-04-24 02:41:40
28-06-24-06-12-10_empty-room-test_03.con,1.5378338085816992e-13,6.906301517668135e-23,28-06-24 06:12:10
28-06-24-06-12-10_empty-room-test_04.con,1.8332338348097864e-13,6.906461905643662e-23,28-06-24 06:12:10
28-06-24-06-12-11_empty-room-test_05.con,1.5470629354435634e-13,6.908493246769755e-23,28-06-24 06:12:11
28-06-24-06-12-11_empty-room-test_06.con,1.4999331359598262e-13,6.972127339766436e-23,28-06-24 06:12:11
28-06-24-06-12-12_empty-room-test_07.con,1.5220694740448391e-13,6.91011589372933e-23,28-06-24 06:12:12
28-06-24-06-12-12_empty-room-test_08.con,2.6189220026434804e-13,6.492785691228824e-23,28-06-24 06:12:12
28-06-24-06-12-12_empty-room-test_10.con,7.683977077187007e-13,6.378226756245439e-23,28-06-24 06:12:12
28-06-24-06-12-13_empty-room-test_11.con,1.000857742912709e-12,7.111409933664894e-23,28-06-24 06:12:13
28-06-24-06-12-13_empty-room-test_12.con,8.099277887688408e-13,6.803546023798518e-23,28-06-24 06:12:13
28-06-24-06-12-14_empty-room-test_09.con,4.934678469532311e-13,5.700837244492726e-23,28-06-24 06:12:14
